Email;Framecount;Handedness;Head.pos.x;Head.pos.y;Head.pos.z;Head.rot.w;Head.rot.x;Head.rot.y;Head.rot.z;IndexDistalJoint.pos.x;IndexDistalJoint.pos.y;IndexDistalJoint.pos.z;IndexDistalJoint.rot.w;IndexDistalJoint.rot.x;IndexDistalJoint.rot.y;IndexDistalJoint.rot.z;IndexKnuckle.pos.x;IndexKnuckle.pos.y;IndexKnuckle.pos.z;IndexKnuckle.rot.w;IndexKnuckle.rot.x;IndexKnuckle.rot.y;IndexKnuckle.rot.z;IndexMetacarpal.pos.x;IndexMetacarpal.pos.y;IndexMetacarpal.pos.z;IndexMetacarpal.rot.w;IndexMetacarpal.rot.x;IndexMetacarpal.rot.y;IndexMetacarpal.rot.z;IndexMiddleJoint.pos.x;IndexMiddleJoint.pos.y;IndexMiddleJoint.pos.z;IndexMiddleJoint.rot.w;IndexMiddleJoint.rot.x;IndexMiddleJoint.rot.y;IndexMiddleJoint.rot.z;IndexTip.pos.x;IndexTip.pos.y;IndexTip.pos.z;IndexTip.rot.w;IndexTip.rot.x;IndexTip.rot.y;IndexTip.rot.z;MiddleDistalJoint.pos.x;MiddleDistalJoint.pos.y;MiddleDistalJoint.pos.z;MiddleDistalJoint.rot.w;MiddleDistalJoint.rot.x;MiddleDistalJoint.rot.y;MiddleDistalJoint.rot.z;MiddleKnuckle.pos.x;MiddleKnuckle.pos.y;MiddleKnuckle.pos.z;MiddleKnuckle.rot.w;MiddleKnuckle.rot.x;MiddleKnuckle.rot.y;MiddleKnuckle.rot.z;MiddleMetacarpal.pos.x;MiddleMetacarpal.pos.y;MiddleMetacarpal.pos.z;MiddleMetacarpal.rot.w;MiddleMetacarpal.rot.x;MiddleMetacarpal.rot.y;MiddleMetacarpal.rot.z;MiddleMiddleJoint.pos.x;MiddleMiddleJoint.pos.y;MiddleMiddleJoint.pos.z;MiddleMiddleJoint.rot.w;MiddleMiddleJoint.rot.x;MiddleMiddleJoint.rot.y;MiddleMiddleJoint.rot.z;MiddleTip.pos.x;MiddleTip.pos.y;MiddleTip.pos.z;MiddleTip.rot.w;MiddleTip.rot.x;MiddleTip.rot.y;MiddleTip.rot.z;Palm.pos.x;Palm.pos.y;Palm.pos.z;Palm.rot.w;Palm.rot.x;Palm.rot.y;Palm.rot.z;PinkyDistalJoint.pos.x;PinkyDistalJoint.pos.y;PinkyDistalJoint.pos.z;PinkyDistalJoint.rot.w;PinkyDistalJoint.rot.x;PinkyDistalJoint.rot.y;PinkyDistalJoint.rot.z;PinkyKnuckle.pos.x;PinkyKnuckle.pos.y;PinkyKnuckle.pos.z;PinkyKnuckle.rot.w;PinkyKnuckle.rot.x;PinkyKnuckle.rot.y;PinkyKnuckle.rot.z;PinkyMetacarpal.pos.x;PinkyMetacarpal.pos.y;PinkyMetacarpal.pos.z;PinkyMetacarpal.rot.w;PinkyMetacarpal.rot.x;PinkyMetacarpal.rot.y;PinkyMetacarpal.rot.z;PinkyMiddleJoint.pos.x;PinkyMiddleJoint.pos.y;PinkyMiddleJoint.pos.z;PinkyMiddleJoint.rot.w;PinkyMiddleJoint.rot.x;PinkyMiddleJoint.rot.y;PinkyMiddleJoint.rot.z;PinkyTip.pos.x;PinkyTip.pos.y;PinkyTip.pos.z;PinkyTip.rot.w;PinkyTip.rot.x;PinkyTip.rot.y;PinkyTip.rot.z;RingDistalJoint.pos.x;RingDistalJoint.pos.y;RingDistalJoint.pos.z;RingDistalJoint.rot.w;RingDistalJoint.rot.x;RingDistalJoint.rot.y;RingDistalJoint.rot.z;RingKnuckle.pos.x;RingKnuckle.pos.y;RingKnuckle.pos.z;RingKnuckle.rot.w;RingKnuckle.rot.x;RingKnuckle.rot.y;RingKnuckle.rot.z;RingMetacarpal.pos.x;RingMetacarpal.pos.y;RingMetacarpal.pos.z;RingMetacarpal.rot.w;RingMetacarpal.rot.x;RingMetacarpal.rot.y;RingMetacarpal.rot.z;RingMiddleJoint.pos.x;RingMiddleJoint.pos.y;RingMiddleJoint.pos.z;RingMiddleJoint.rot.w;RingMiddleJoint.rot.x;RingMiddleJoint.rot.y;RingMiddleJoint.rot.z;RingTip.pos.x;RingTip.pos.y;RingTip.pos.z;RingTip.rot.w;RingTip.rot.x;RingTip.rot.y;RingTip.rot.z;SessionID;ThumbDistalJoint.pos.x;ThumbDistalJoint.pos.y;ThumbDistalJoint.pos.z;ThumbDistalJoint.rot.w;ThumbDistalJoint.rot.x;ThumbDistalJoint.rot.y;ThumbDistalJoint.rot.z;ThumbMetacarpalJoint.pos.x;ThumbMetacarpalJoint.pos.y;ThumbMetacarpalJoint.pos.z;ThumbMetacarpalJoint.rot.w;ThumbMetacarpalJoint.rot.x;ThumbMetacarpalJoint.rot.y;ThumbMetacarpalJoint.rot.z;ThumbProximalJoint.pos.x;ThumbProximalJoint.pos.y;ThumbProximalJoint.pos.z;ThumbProximalJoint.rot.w;ThumbProximalJoint.rot.x;ThumbProximalJoint.rot.y;ThumbProximalJoint.rot.z;ThumbTip.pos.x;ThumbTip.pos.y;ThumbTip.pos.z;ThumbTip.rot.w;ThumbTip.rot.x;ThumbTip.rot.y;ThumbTip.rot.z;Timestamp;Transform.Index.0.pos.x;Transform.Index.0.pos.y;Transform.Index.0.pos.z;Transform.Index.0.rot.w;Transform.Index.0.rot.x;Transform.Index.0.rot.y;Transform.Index.0.rot.z;Transform.Index.1.pos.x;Transform.Index.1.pos.y;Transform.Index.1.pos.z;Transform.Index.1.rot.w;Transform.Index.1.rot.x;Transform.Index.1.rot.y;Transform.Index.1.rot.z;Transform.Index.10.pos.x;Transform.Index.10.pos.y;Transform.Index.10.pos.z;Transform.Index.10.rot.w;Transform.Index.10.rot.x;Transform.Index.10.rot.y;Transform.Index.10.rot.z;Transform.Index.11.pos.x;Transform.Index.11.pos.y;Transform.Index.11.pos.z;Transform.Index.11.rot.w;Transform.Index.11.rot.x;Transform.Index.11.rot.y;Transform.Index.11.rot.z;Transform.Index.12.pos.x;Transform.Index.12.pos.y;Transform.Index.12.pos.z;Transform.Index.12.rot.w;Transform.Index.12.rot.x;Transform.Index.12.rot.y;Transform.Index.12.rot.z;Transform.Index.13.pos.x;Transform.Index.13.pos.y;Transform.Index.13.pos.z;Transform.Index.13.rot.w;Transform.Index.13.rot.x;Transform.Index.13.rot.y;Transform.Index.13.rot.z;Transform.Index.14.pos.x;Transform.Index.14.pos.y;Transform.Index.14.pos.z;Transform.Index.14.rot.w;Transform.Index.14.rot.x;Transform.Index.14.rot.y;Transform.Index.14.rot.z;Transform.Index.15.pos.x;Transform.Index.15.pos.y;Transform.Index.15.pos.z;Transform.Index.15.rot.w;Transform.Index.15.rot.x;Transform.Index.15.rot.y;Transform.Index.15.rot.z;Transform.Index.16.pos.x;Transform.Index.16.pos.y;Transform.Index.16.pos.z;Transform.Index.16.rot.w;Transform.Index.16.rot.x;Transform.Index.16.rot.y;Transform.Index.16.rot.z;Transform.Index.17.pos.x;Transform.Index.17.pos.y;Transform.Index.17.pos.z;Transform.Index.17.rot.w;Transform.Index.17.rot.x;Transform.Index.17.rot.y;Transform.Index.17.rot.z;Transform.Index.18.pos.x;Transform.Index.18.pos.y;Transform.Index.18.pos.z;Transform.Index.18.rot.w;Transform.Index.18.rot.x;Transform.Index.18.rot.y;Transform.Index.18.rot.z;Transform.Index.19.pos.x;Transform.Index.19.pos.y;Transform.Index.19.pos.z;Transform.Index.19.rot.w;Transform.Index.19.rot.x;Transform.Index.19.rot.y;Transform.Index.19.rot.z;Transform.Index.2.pos.x;Transform.Index.2.pos.y;Transform.Index.2.pos.z;Transform.Index.2.rot.w;Transform.Index.2.rot.x;Transform.Index.2.rot.y;Transform.Index.2.rot.z;Transform.Index.20.pos.x;Transform.Index.20.pos.y;Transform.Index.20.pos.z;Transform.Index.20.rot.w;Transform.Index.20.rot.x;Transform.Index.20.rot.y;Transform.Index.20.rot.z;Transform.Index.21.pos.x;Transform.Index.21.pos.y;Transform.Index.21.pos.z;Transform.Index.21.rot.w;Transform.Index.21.rot.x;Transform.Index.21.rot.y;Transform.Index.21.rot.z;Transform.Index.3.pos.x;Transform.Index.3.pos.y;Transform.Index.3.pos.z;Transform.Index.3.rot.w;Transform.Index.3.rot.x;Transform.Index.3.rot.y;Transform.Index.3.rot.z;Transform.Index.4.pos.x;Transform.Index.4.pos.y;Transform.Index.4.pos.z;Transform.Index.4.rot.w;Transform.Index.4.rot.x;Transform.Index.4.rot.y;Transform.Index.4.rot.z;Transform.Index.5.pos.x;Transform.Index.5.pos.y;Transform.Index.5.pos.z;Transform.Index.5.rot.w;Transform.Index.5.rot.x;Transform.Index.5.rot.y;Transform.Index.5.rot.z;Transform.Index.6.pos.x;Transform.Index.6.pos.y;Transform.Index.6.pos.z;Transform.Index.6.rot.w;Transform.Index.6.rot.x;Transform.Index.6.rot.y;Transform.Index.6.rot.z;Transform.Index.7.pos.x;Transform.Index.7.pos.y;Transform.Index.7.pos.z;Transform.Index.7.rot.w;Transform.Index.7.rot.x;Transform.Index.7.rot.y;Transform.Index.7.rot.z;Transform.Index.8.pos.x;Transform.Index.8.pos.y;Transform.Index.8.pos.z;Transform.Index.8.rot.w;Transform.Index.8.rot.x;Transform.Index.8.rot.y;Transform.Index.8.rot.z;Transform.Index.9.pos.x;Transform.Index.9.pos.y;Transform.Index.9.pos.z;Transform.Index.9.rot.w;Transform.Index.9.rot.x;Transform.Index.9.rot.y;Transform.Index.9.rot.z;Wrist.pos.x;Wrist.pos.y;Wrist.pos.z;Wrist.rot.w;Wrist.rot.x;Wrist.rot.y;Wrist.rot.z
NA;1;Right;0.0392;1.6171;-0.0989;0.9955;0.0888;0.0252;0.0214;0.0850;1.4558;0.3818;0.8493;-0.5220;0.0131;-0.0770;0.0836;1.4069;0.3479;0.8853;-0.4644;-0.0014;-0.0238;0.1010;1.3584;0.3258;0.8724;-0.4762;-0.1103;-0.0042;0.0843;1.4368;0.3685;0.8859;-0.4611;-0.0072;-0.0499;0.0876;1.4751;0.3907;0.8493;-0.5220;0.0131;-0.0770;0.1031;1.4629;0.3912;0.8578;-0.5030;-0.0415;-0.0973;0.1045;1.4112;0.3480;0.9048;-0.4215;-0.0364;-0.0491;0.1170;1.3603;0.3246;0.8724;-0.4762;-0.1103;-0.0042;0.1035;1.4426;0.3744;0.9035;-0.4226;-0.0371;-0.0612;0.1042;1.4842;0.4021;0.8578;-0.5030;-0.0415;-0.0973;0.1141;1.3739;0.3233;0.8724;-0.4762;-0.1103;-0.0042;0.1264;1.3827;0.3856;0.3326;0.9092;-0.2495;-0.0233;0.1408;1.3947;0.3549;0.9790;-0.0786;-0.1227;-0.1423;0.1379;1.3609;0.3274;0.8678;-0.4216;-0.0830;-0.2495;0.1344;1.4002;0.3830;0.7450;0.6310;-0.1897;-0.1044;0.1213;1.3696;0.3700;0.3326;0.9092;-0.2495;-0.0233;0.1135;1.3935;0.3906;0.3443;0.9270;-0.1472;-0.0223;0.1232;1.4054;0.3513;0.9811;-0.1623;-0.0524;-0.0912;0.1307;1.3625;0.3235;0.8724;-0.4762;-0.1103;-0.0042;0.1205;1.4176;0.3864;0.7608;0.6327;-0.1326;-0.0568;0.1101;1.3776;0.3739;0.3443;0.9270;-0.1472;-0.0223;8a5b7108-f167-430f-b46f-fbbb5980434f;0.0886;1.3818;0.3850;0.6420;0.1259;0.4616;0.5991;0.0945;1.3522;0.3334;0.5518;-0.2931;0.0346;0.7800;0.0814;1.3639;0.3591;0.6758;-0.1267;0.2878;0.6667;0.1053;1.3919;0.3982;0.6420;0.1259;0.4616;0.5991;11;0.1233;1.3364;0.2988;0.5384;-0.3409;-0.6945;0.3341;0.0956;-0.0025;0.0017;0.9943;-0.0098;0.0894;-0.0576;0.0390;0.0000;0.0000;0.6557;-0.0410;-0.0233;-0.7535;0.0266;0.0000;0.0000;0.8692;-0.0272;-0.0278;-0.4930;0.0207;0.0005;0.0004;1.0000;0.0000;0.0000;0.0000;0.0360;-0.0192;0.0280;0.6141;0.7315;-0.2814;-0.0926;0.0325;0.0000;0.0000;0.9400;-0.0793;0.0388;-0.3295;0.0338;0.0000;0.0000;0.9502;0.0715;-0.0327;-0.3016;0.0196;0.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0.0341;-0.0094;-0.0230;0.9680;-0.2070;0.1403;-0.0183;0.0457;0.0000;0.0000;0.9284;0.0756;0.0151;-0.3634;0.0312;0.0000;-0.0007;0.7179;-0.0885;0.0037;-0.6905;0.0429;0.0000;0.0000;0.9999;-0.0112;0.0044;0.0020;0.0210;0.0001;-0.0001;0.8712;0.0023;-0.0425;-0.4892;0.0184;0.0002;0.0005;1.0000;0.0000;0.0000;0.0000;0.0275;0.0000;0.0000;0.9951;-0.0343;0.0046;0.0930;0.0215;-0.0007;-0.0004;1.0000;0.0000;0.0000;0.0000;0.0960;-0.0073;0.0236;0.9937;0.0335;0.1057;-0.0144;0.0379;0.0000;0.0000;0.9996;-0.0259;0.0071;-0.0033;0.0243;0.0000;0.0000;0.9969;-0.0161;0.0271;0.0720;0.0190;-0.0004;0.0003;1.0000;0.0000;0.0000;0.0000;0.0887;-0.0065;-0.0175;0.9395;-0.0824;0.1052;-0.3154;0.1236;1.3366;0.2985;0.8724;-0.4762;-0.1103;-0.0042
NA;2;Right;0.0392;1.6171;-0.0987;0.9955;0.0887;0.0248;0.0208;0.0863;1.4556;0.3824;0.8485;-0.5234;0.0139;-0.0772;0.0847;1.4067;0.3486;0.8846;-0.4658;-0.0005;-0.0239;0.1021;1.3582;0.3265;0.8724;-0.4763;-0.1093;-0.0044;0.0855;1.4366;0.3691;0.8852;-0.4626;-0.0063;-0.0501;0.0890;1.4750;0.3912;0.8485;-0.5234;0.0139;-0.0772;0.1044;1.4627;0.3918;0.8574;-0.5037;-0.0404;-0.0975;0.1057;1.4109;0.3487;0.9045;-0.4222;-0.0352;-0.0494;0.1181;1.3601;0.3252;0.8724;-0.4763;-0.1093;-0.0044;0.1048;1.4424;0.3750;0.9032;-0.4233;-0.0359;-0.0615;0.1057;1.4840;0.4026;0.8574;-0.5037;-0.0404;-0.0975;0.1152;1.3736;0.3239;0.8724;-0.4763;-0.1093;-0.0044;0.1276;1.3826;0.3863;0.3363;0.9076;-0.2501;-0.0245;0.1420;1.3944;0.3555;0.9788;-0.0815;-0.1215;-0.1430;0.1390;1.3606;0.3280;0.8677;-0.4219;-0.0821;-0.2497;0.1357;1.4001;0.3836;0.7473;0.6280;-0.1895;-0.1058;0.1224;1.3694;0.3708;0.3363;0.9076;-0.2501;-0.0245;0.1148;1.3933;0.3913;0.3454;0.9265;-0.1476;-0.0233;0.1244;1.4051;0.3519;0.9809;-0.1636;-0.0514;-0.0917;0.1318;1.3622;0.3241;0.8724;-0.4763;-0.1093;-0.0044;0.1218;1.4174;0.3870;0.7617;0.6316;-0.1324;-0.0578;0.1113;1.3774;0.3746;0.3454;0.9265;-0.1476;-0.0233;8a5b7108-f167-430f-b46f-fbbb5980434f;0.0898;1.3815;0.3857;0.6416;0.1269;0.4615;0.5994;0.0956;1.3519;0.3341;0.5522;-0.2917;0.0347;0.7802;0.0826;1.3636;0.3598;0.6757;-0.1254;0.2879;0.6669;0.1065;1.3915;0.3989;0.6416;0.1269;0.4615;0.5994;34;0.1236;1.3366;0.2985;0.5388;-0.3397;-0.6949;0.3338;0.0956;-0.0025;0.0017;0.9942;-0.0099;0.0897;-0.0579;0.0390;0.0000;0.0000;0.6559;-0.0410;-0.0233;-0.7534;0.0266;0.0000;0.0000;0.8693;-0.0272;-0.0278;-0.4928;0.0207;0.0005;0.0004;1.0000;0.0000;0.0000;0.0000;0.0360;-0.0192;0.0280;0.6139;0.7316;-0.2816;-0.0930;0.0325;0.0000;0.0000;0.9400;-0.0793;0.0388;-0.3296;0.0338;0.0000;0.0000;0.9502;0.0715;-0.0327;-0.3016;0.0196;0.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0.0341;-0.0094;-0.0230;0.9680;-0.2070;0.1403;-0.0183;0.0457;0.0000;0.0000;0.9285;0.0755;0.0152;-0.3633;0.0312;0.0000;-0.0007;0.7179;-0.0885;0.0037;-0.6905;0.0429;0.0000;0.0000;0.9999;-0.0112;0.0044;0.0020;0.0210;0.0001;-0.0001;0.8712;0.0023;-0.0425;-0.4891;0.0184;0.0002;0.0005;1.0000;0.0000;0.0000;0.0000;0.0275;0.0000;0.0000;0.9951;-0.0343;0.0046;0.0930;0.0215;-0.0007;-0.0004;1.0000;0.0000;0.0000;0.0000;0.0960;-0.0073;0.0236;0.9937;0.0336;0.1058;-0.0138;0.0379;0.0000;0.0000;0.9996;-0.0259;0.0071;-0.0033;0.0243;0.0000;0.0000;0.9969;-0.0161;0.0271;0.0720;0.0190;-0.0004;0.0003;1.0000;0.0000;0.0000;0.0000;0.0887;-0.0065;-0.0175;0.9394;-0.0825;0.1053;-0.3158;0.1246;1.3363;0.2992;0.8724;-0.4763;-0.1093;-0.0044
NA;3;Right;0.0393;1.6170;-0.0985;0.9956;0.0887;0.0242;0.0207;0.0856;1.4554;0.3822;0.8453;-0.5285;0.0099;-0.0778;0.0844;1.4064;0.3486;0.8842;-0.4665;-0.0048;-0.0242;0.1019;1.3579;0.3265;0.8727;-0.4753;-0.1112;-0.0059;0.0850;1.4363;0.3691;0.8836;-0.4654;-0.0105;-0.0504;0.0881;1.4749;0.3908;0.8453;-0.5285;0.0099;-0.0778;0.1040;1.4627;0.3915;0.8510;-0.5140;-0.0422;-0.0987;0.1054;1.4106;0.3488;0.9040;-0.4228;-0.0378;-0.0504;0.1179;1.3598;0.3253;0.8727;-0.4753;-0.1112;-0.0059;0.1043;1.4421;0.3751;0.8989;-0.4320;-0.0379;-0.0628;0.1052;1.4843;0.4018;0.8510;-0.5140;-0.0422;-0.0987;0.1150;1.3733;0.3240;0.8727;-0.4753;-0.1112;-0.0059;0.1271;1.3824;0.3866;0.3393;0.9061;-0.2515;-0.0230;0.1417;1.3940;0.3558;0.9783;-0.0839;-0.1233;-0.1437;0.1388;1.3603;0.3281;0.8679;-0.4203;-0.0837;-0.2510;0.1353;1.3998;0.3838;0.7490;0.6255;-0.1914;-0.1052;0.1220;1.3691;0.3712;0.3393;0.9061;-0.2515;-0.0230;0.1143;1.3931;0.3915;0.3464;0.9260;-0.1485;-0.0210;0.1241;1.4047;0.3521;0.9806;-0.1643;-0.0539;-0.0921;0.1316;1.3619;0.3243;0.8727;-0.4753;-0.1112;-0.0059;0.1213;1.4171;0.3872;0.7622;0.6308;-0.1343;-0.0563;0.1108;1.3771;0.3748;0.3464;0.9260;-0.1485;-0.0210;8a5b7108-f167-430f-b46f-fbbb5980434f;0.0893;1.3811;0.3857;0.6429;0.1252;0.4586;0.6005;0.0953;1.3516;0.3340;0.5529;-0.2930;0.0331;0.7793;0.0823;1.3633;0.3597;0.6767;-0.1266;0.2856;0.6667;0.1060;1.3911;0.3990;0.6429;0.1252;0.4586;0.6005;55;0.1246;1.3363;0.2992;0.5396;-0.3399;-0.6942;0.3337;0.0956;-0.0025;0.0017;0.9943;-0.0098;0.0898;-0.0573;0.0390;0.0000;0.0000;0.6560;-0.0410;-0.0233;-0.7533;0.0266;0.0000;0.0000;0.8692;-0.0272;-0.0278;-0.4930;0.0207;0.0005;0.0004;1.0000;0.0000;0.0000;0.0000;0.0360;-0.0192;0.0280;0.6136;0.7315;-0.2823;-0.0936;0.0325;0.0000;0.0000;0.9401;-0.0793;0.0388;-0.3294;0.0338;0.0000;0.0000;0.9502;0.0715;-0.0327;-0.3014;0.0196;0.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0.0341;-0.0094;-0.0230;0.9680;-0.2070;0.1403;-0.0183;0.0457;0.0000;0.0000;0.9294;0.0758;0.0149;-0.3608;0.0312;0.0000;-0.0007;0.7185;-0.0885;0.0037;-0.6899;0.0429;0.0000;0.0000;0.9999;-0.0112;0.0044;0.0020;0.0210;0.0001;-0.0001;0.8713;0.0023;-0.0425;-0.4889;0.0184;0.0002;0.0005;1.0000;0.0000;0.0000;0.0000;0.0275;0.0000;0.0000;0.9951;-0.0343;0.0046;0.0930;0.0215;-0.0007;-0.0004;1.0000;0.0000;0.0000;0.0000;0.0960;-0.0073;0.0236;0.9938;0.0337;0.1056;-0.0123;0.0379;0.0000;0.0000;0.9996;-0.0259;0.0071;-0.0033;0.0243;0.0000;0.0000;0.9969;-0.0161;0.0271;0.0720;0.0190;-0.0004;0.0003;1.0000;0.0000;0.0000;0.0000;0.0887;-0.0065;-0.0175;0.9397;-0.0823;0.1053;-0.3147;0.1245;1.3361;0.2992;0.8727;-0.4753;-0.1112;-0.0059
NA;4;Right;0.0395;1.6170;-0.0982;0.9956;0.0888;0.0239;0.0201;0.0849;1.4552;0.3822;0.8463;-0.5270;0.0055;-0.0780;0.0842;1.4061;0.3486;0.8838;-0.4671;-0.0091;-0.0241;0.1018;1.3576;0.3265;0.8730;-0.4744;-0.1129;-0.0072;0.0844;1.4360;0.3691;0.8838;-0.4649;-0.0149;-0.0503;0.0873;1.4746;0.3909;0.8463;-0.5270;0.0055;-0.0780;0.1035;1.4624;0.3917;0.8529;-0.5105;-0.0449;-0.0997;0.1052;1.4103;0.3489;0.9035;-0.4236;-0.0403;-0.0511;0.1177;1.3595;0.3254;0.8730;-0.4744;-0.1129;-0.0072;0.1039;1.4419;0.3751;0.9000;-0.4294;-0.0407;-0.0634;0.1046;1.4838;0.4021;0.8529;-0.5105;-0.0449;-0.0997;0.1148;1.3731;0.3241;0.8730;-0.4744;-0.1129;-0.0072;0.1268;1.3823;0.3869;0.3420;0.9048;-0.2527;-0.0217;0.1414;1.3937;0.3560;0.9779;-0.0859;-0.1249;-0.1442;0.1386;1.3600;0.3283;0.8682;-0.4188;-0.0851;-0.2522;0.1349;1.3996;0.3840;0.7504;0.6234;-0.1931;-0.1045;0.1216;1.3689;0.3716;0.3420;0.9048;-0.2527;-0.0217;0.1139;1.3928;0.3917;0.3473;0.9256;-0.1493;-0.0189;0.1239;1.4044;0.3523;0.9803;-0.1651;-0.0561;-0.0924;0.1314;1.3617;0.3244;0.8730;-0.4744;-0.1129;-0.0072;0.1209;1.4169;0.3874;0.7626;0.6300;-0.1360;-0.0549;0.1105;1.3768;0.3750;0.3473;0.9256;-0.1493;-0.0189;8a5b7108-f167-430f-b46f-fbbb5980434f;0.0889;1.3808;0.3857;0.6442;0.1233;0.4559;0.6016;0.0951;1.3514;0.3340;0.5534;-0.2943;0.0317;0.7785;0.0820;1.3630;0.3597;0.6776;-0.1280;0.2835;0.6664;0.1054;1.3908;0.3992;0.6442;0.1233;0.4559;0.6016;68;0.1245;1.3361;0.2992;0.5385;-0.3403;-0.6957;0.3320;0.0956;-0.0025;0.0017;0.9944;-0.0096;0.0890;-0.0553;0.0390;0.0000;0.0000;0.6562;-0.0410;-0.0233;-0.7531;0.0266;0.0000;0.0000;0.8692;-0.0272;-0.0278;-0.4929;0.0207;0.0005;0.0004;1.0000;0.0000;0.0000;0.0000;0.0360;-0.0192;0.0280;0.6135;0.7317;-0.2819;-0.0935;0.0325;0.0000;0.0000;0.9402;-0.0793;0.0389;-0.3288;0.0338;0.0000;0.0000;0.9506;0.0716;-0.0328;-0.3004;0.0196;0.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0.0341;-0.0094;-0.0230;0.9680;-0.2070;0.1403;-0.0183;0.0457;0.0000;0.0000;0.9308;0.0761;0.0142;-0.3574;0.0312;0.0000;-0.0007;0.7190;-0.0885;0.0038;-0.6893;0.0429;0.0000;0.0000;0.9999;-0.0112;0.0045;0.0109;0.0210;0.0001;-0.0001;0.8715;0.0023;-0.0425;-0.4885;0.0184;0.0002;0.0005;1.0000;0.0000;0.0000;0.0000;0.0275;0.0000;0.0000;0.9948;-0.0341;0.0047;0.0955;0.0215;-0.0007;-0.0004;1.0000;0.0000;0.0000;0.0000;0.0960;-0.0073;0.0236;0.9941;0.0337;0.1029;-0.0105;0.0379;0.0000;0.0000;0.9996;-0.0258;0.0072;-0.0007;0.0243;0.0000;0.0000;0.9967;-0.0160;0.0272;0.0749;0.0190;-0.0004;0.0003;1.0000;0.0000;0.0000;0.0000;0.0887;-0.0065;-0.0175;0.9405;-0.0820;0.1049;-0.3128;0.1245;1.3359;0.2993;0.8730;-0.4744;-0.1129;-0.0072
